m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
495.09328,1,33370883,25,19,20,11,495.093285,0,0.44,0.8,16,0.538461538,496.1005615,495,0.546608,496,0.2152633,495,0.8095574,492,0.2486996,496,0.2582902,495,0.8051658,495,0.925918,11,6,6,8,12,6,9,1,244.0371734
603.077985,1,8820450,30,19,20,14,603.078029,-0.1,0.466666667,0.666666667,21,0.608695652,604.0853053,603,0.410775,604,0.224974,603,0.7309593,599,0.3950201,604,0.2773665,603,0.7256118,603,0.8726478,10,6,8,7,10,6,10,1,246.0528234
511.088183,1,25484570,25,19,20,12,511.0882,0,0.48,0.8,16,0.526315789,512.0954761,511,0.523663,512,0.2138761,511,0.7950897,508,0.1194253,512,0.2582902,511,0.7905565,511,0.9152019,10,6,6,8,12,6,9,1,248.032088
587.083098,1,11717269,30,19,20,13,587.083114,0,0.433333333,0.666666667,21,0.617021277,588.0903907,587,0.433721,588,0.2263613,587,0.745427,583,0.5242944,588,0.2773665,587,0.7402211,587,0.8833639,9,6,7,7,10,6,11,1,248.0684735
575.083131,1,17387049,29,19,20,13,575.083114,0,0.448275862,0.689655172,20,0.6,576.0903907,575,0.44712,576,0.2235868,575,0.752466,571,0.6174657,576,0.2735512,575,0.7473663,575,0.8875883,10,6,8,7,10,6,9,1,250.0477381
557.072594,1,11944710,29,17,18,12,557.07255,0.1,0.413793103,0.620689655,21,0.652173913,558.079826,557,0.456666,558,0.2088579,557,0.752466,553,0.7467400,558,0.2572603,557,0.7475257,557,0.8833639,10,6,8,7,9,5,11,1,252.0633881
549.103884,1,31548522,28,21,22,12,549.10385,0.1,0.428571429,0.785714286,18,0.545454545,550.1111262,549,0.496864,550,0.2383157,549,0.7884404,545,0.8399113,550,0.2860269,549,0.7835707,549,0.9174693,11,6,6,8,11,6,8,1,254.0426527
523.088177,1,33710682,26,19,20,12,523.0882,0,0.461538462,0.769230769,17,0.55,524.0954761,523,0.510264,524,0.2166506,523,0.7880507,520,0.0262540,524,0.2621055,523,0.7834113,523,0.9109776,10,6,6,8,11,6,9,1,256.0583027
507.056895,1,23272149,25,15,16,12,507.0569,0,0.48,0.64,18,0.631578947,508.064176,507,0.496864,508,0.1816439,507,0.7661543,504,0.1194253,508,0.2257084,507,0.7616567,507,0.885321,11,6,7,8,10,5,9,1,256.0735589
463.067051,1,33782556,24,15,16,10,463.06707,0,0.416666667,0.666666667,17,0.631578947,464.0743467,463,0.556155,464,0.1816439,463,0.8021287,460,0.4711452,464,0.2218932,463,0.7980206,463,0.9109776,11,6,7,7,11,5,9,1,258.0375673
617.093719,1,9903428,31,21,22,14,617.093679,0.1,0.451612903,0.709677419,21,0.583333333,618.1009554,617,0.410775,618,0.2438646,617,0.738388,613,0.3018488,618,0.2974726,617,0.7329164,617,0.8833639,10,6,7,6,10,5,11,1,258.0528234
591.078002,1,11385214,29,19,20,14,591.078029,0,0.482758621,0.689655172,20,0.590909091,592.0853053,591,0.424174,592,0.2221996,591,0.7379983,587,0.4881914,592,0.2735512,591,0.732757,591,0.8768722,9,6,8,7,10,5,10,1,260.032088
551.083052,1,23176226,27,19,20,13,551.083114,-0.1,0.481481481,0.740740741,18,0.56097561,552.0903907,551,0.473919,552,0.2180378,551,0.766544,547,0.8038083,552,0.2659207,551,0.7616567,551,0.8960371,10,6,7,7,11,5,9,1,260.0684735
549.067481,1,19469419,27,17,18,13,549.067464,0,0.481481481,0.666666667,19,0.609756098,550.0747407,549,0.460519,550,0.2019217,549,0.7520763,545,0.8038083,550,0.2496298,549,0.7472068,549,0.8810966,10,7,7,7,10,5,9,1,262.0477381
527.083088,1,16929666,25,19,20,13,527.083114,0,0.52,0.8,16,0.513513514,528.0903907,527,0.500717,528,0.2124889,527,0.780622,523,0.9901510,528,0.2582902,527,0.7759472,527,0.9044858,9,6,7,7,12,6,8,1,262.0841236
521.072567,1,34578854,26,17,18,12,521.07255,0,0.461538462,0.692307692,18,0.6,522.079826,521,0.496864,522,0.2005345,521,0.773583,518,0.0262540,522,0.2458146,521,0.7689614,521,0.8960371,11,6,6,8,9,6,9,1,264.0270026
509.1089,1,24296452,26,21,22,11,509.108935,-0.1,0.423076923,0.846153846,16,0.512195122,510.1162115,509,0.546608,510,0.2341539,509,0.8169861,506,0.1555283,510,0.2783964,509,0.8124704,509,0.9366341,11,6,6,8,10,5,9,1,264.0633881
493.07763,1,43454866,25,17,18,11,493.077635,0,0.44,0.72,17,0.58974359,494.0849114,493,0.533209,494,0.1991473,493,0.7950897,490,0.2486996,494,0.2419993,493,0.7907159,493,0.9109776,10,7,6,8,10,5,9,1,264.0997736
491.098346,1,41644066,26,19,20,10,491.09837,0,0.384615385,0.769230769,17,0.571428571,492.1056469,491,0.556155,492,0.2194251,491,0.8169861,488,0.2848026,492,0.2621055,491,0.8126299,491,0.9324098,11,7,6,7,11,5,8,1,266.0062672
479.098365,1,36038420,25,19,20,10,479.09837,0,0.4,0.8,16,0.55,480.1056469,479,0.569554,480,0.2166506,479,0.8240251,476,0.3779739,480,0.2582902,479,0.8197751,479,0.9366341,10,6,5,8,12,5,9,1,266.0426527
479.061943,1,30050061,24,15,16,11,479.061985,-0.1,0.458333333,0.666666667,17,0.621621622,480.0692614,479,0.533209,480,0.1802567,479,0.787661,476,0.3418709,480,0.2218932,479,0.7834113,479,0.9002615,10,6,7,6,11,6,9,1,266.0790382
463.103455,1,30456611,25,19,20,9,463.103456,0,0.36,0.8,16,0.56097561,464.1107322,463,0.592499,464,0.2180378,463,0.8384929,460,0.5072482,464,0.2582902,463,0.8343844,463,0.9473503,10,6,6,8,12,5,8,1,268.0219172
647.104398,1,7195875,32,23,24,15,647.104244,0.2,0.46875,0.75,21,0.551020408,648.1115201,647,0.38783,648,0.261368,647,0.731349,643,0.0794031,648,0.3175788,647,0.7256118,647,0.8833639,9,6,5,7,10,6,11,1,268.0371734
633.088657,1,7787711,31,21,22,15,633.088594,0.1,0.483870968,0.709677419,21,0.574468085,634.09587,633,0.38783,634,0.2424774,633,0.7239203,629,0.1725745,634,0.2974726,633,0.7183071,633,0.8726478,9,7,6,7,10,5,10,1,268.0583027
631.109333,1,9206978,32,23,24,14,631.109329,0,0.4375,0.75,21,0.56,632.1166055,631,0.410775,632,0.2627552,631,0.7458167,627,0.2086775,632,0.3175788,631,0.7402211,631,0.89408,10,5,7,7,10,6,9,1,268.0735589
593.093769,1,12507385,29,21,22,14,593.093679,0.2,0.482758621,0.75862069,19,0.545454545,594.1009554,593,0.437574,594,0.2383157,593,0.752466,589,0.4881914,594,0.2898421,593,0.7472068,593,0.8918127,10,6,8,7,10,5,8,1,270.0375673
589.098783,1,14846470,30,21,22,13,589.098764,0,0.433333333,0.733333333,20,0.574468085,590.1060408,589,0.44712,590,0.2424774,589,0.7598947,585,0.5242944,590,0.2936574,589,0.7546709,589,0.8983044,10,7,6,7,10,5,9,1,270.0739528
577.098845,1,17984909,29,21,22,13,577.098764,0.1,0.448275862,0.75862069,19,0.555555556,578.1060408,577,0.460519,578,0.2397029,577,0.7669337,573,0.6174657,578,0.2898421,577,0.7618162,577,0.9025288,10,6,7,7,10,5,9,1,270.0892089
573.067485,1,9262789,29,17,18,13,573.067464,0,0.448275862,0.620689655,21,0.644444444,574.0747407,573,0.433721,574,0.2074707,573,0.7379983,569,0.6174657,574,0.2572603,573,0.7329164,573,0.8726478,9,6,8,7,9,5,10,1,272.032088
569.093669,1,9926641,27,21,22,14,569.093679,0,0.518518519,0.814814815,17,0.5,570.1009554,569,0.464372,570,0.2327667,569,0.766544,565,0.6745340,570,0.2822117,569,0.7614973,569,0.9002615,9,6,7,7,11,5,9,1,272.0532174
565.098754,1,18628879,28,21,22,13,565.098764,0,0.464285714,0.785714286,18,0.534883721,566.1060408,565,0.473919,566,0.2369284,565,0.7739727,561,0.7106370,566,0.2860269,565,0.7689614,565,0.9067532,10,6,6,7,11,6,8,1,272.0684735
563.083104,1,22413720,28,19,20,13,563.083114,0,0.464285714,0.714285714,19,0.581395349,564.0903907,563,0.460519,564,0.2208123,563,0.759505,559,0.7106370,564,0.269736,563,0.7545115,563,0.8918127,10,7,7,7,10,5,8,1,274.0113525
559.088125,1,23577236,29,19,20,12,559.0882,-0.1,0.413793103,0.689655172,20,0.608695652,560.0954761,559,0.470065,560,0.224974,559,0.7669337,555,0.7467400,560,0.2735512,559,0.7619756,559,0.8983044,10,6,7,7,10,5,9,1,274.0477381
557.108946,1,18961156,30,21,22,11,557.108935,0,0.366666667,0.733333333,20,0.591836735,558.1162115,557,0.493011,558,0.2452519,557,0.7888302,553,0.7828430,558,0.2936574,557,0.7838896,557,0.9197366,9,7,5,8,10,6,9,1,274.0841236
545.072527,1,21566677,28,17,18,12,545.07255,0,0.428571429,0.642857143,20,0.636363636,546.079826,545,0.470065,546,0.2060835,545,0.759505,541,0.8399113,546,0.2534451,545,0.7546709,545,0.8875883,10,5,7,8,10,5,9,1,276.0270026
543.077942,1,10904821,25,19,20,14,543.078029,-0.2,0.56,0.8,16,0.5,544.0853053,543,0.477772,544,0.2111016,543,0.7661543,539,0.8608767,544,0.2582902,543,0.7613379,543,0.8937697,9,6,7,6,12,5,9,1,276.0633881
539.119499,1,11302150,27,23,24,12,539.1195,0,0.444444444,0.888888889,16,0.476190476,540.1267762,539,0.523663,540,0.2516573,539,0.8099471,535,0.9330827,540,0.2985026,539,0.8051658,539,0.9366341,10,6,6,7,10,6,9,1,276.0997736
537.103835,1,22967541,27,21,22,12,537.10385,0,0.444444444,0.814814815,17,0.523809524,538.1111262,537,0.510264,538,0.2355412,537,0.7954794,533,0.9330827,538,0.2822117,537,0.7907159,537,0.9216937,10,7,6,7,11,5,8,1,278.0062672
535.088187,1,33645778,27,19,20,12,535.0882,0,0.444444444,0.740740741,18,0.571428571,536.0954761,535,0.496864,536,0.2194251,535,0.7810117,531,0.9330827,536,0.2659207,535,0.776266,535,0.9067532,11,7,5,7,11,5,8,1,278.0426527
533.108865,1,34456734,28,21,22,11,533.108935,-0.1,0.392857143,0.785714286,18,0.555555556,534.1162115,533,0.51981,534,0.2397029,533,0.8029082,529,0.9691857,534,0.2860269,533,0.79818,533,0.9281854,10,6,5,8,11,5,9,1,278.0790382
531.093217,1,35161172,28,19,20,11,531.093285,-0.1,0.392857143,0.714285714,19,0.6,532.1005615,531,0.50641,532,0.2235868,531,0.7884404,527,0.9691857,532,0.269736,531,0.7837301,531,0.9132449,10,6,6,8,10,5,9,1,280.0583027
531.056858,1,12592210,27,15,16,12,531.0569,-0.1,0.444444444,0.592592593,20,0.666666667,532.064176,531,0.470065,532,0.1871929,531,0.7520763,527,0.9330827,532,0.2333389,531,0.7473663,531,0.8768722,10,5,7,7,9,6,10,1,280.0735589
519.093242,1,43581666,27,19,20,11,519.093285,-0.1,0.407407407,0.740740741,18,0.581395349,520.1005615,519,0.51981,520,0.2208123,519,0.7954794,516,0.0623570,520,0.2659207,519,0.7908753,519,0.9174693,10,7,6,7,11,5,8,1,280.0946882
513.103854,1,12305958,25,21,22,12,513.10385,0,0.48,0.88,15,0.473684211,514.1111262,513,0.537062,514,0.2299922,513,0.8095574,510,0.1194253,514,0.2745812,513,0.8050064,513,0.9301424,10,7,6,8,10,5,8,1,282.0375673
509.072493,1,33070079,25,17,18,12,509.07255,-0.1,0.48,0.72,17,0.578947368,510.079826,509,0.510264,510,0.19776,509,0.780622,506,0.1194253,510,0.2419993,509,0.7761066,509,0.9002615,10,5,7,8,10,5,9,1,282.0528234
507.093257,1,42539739,26,19,20,11,507.093285,-0.1,0.423076923,0.769230769,17,0.56097561,508.1005615,507,0.533209,508,0.2180378,507,0.8025184,504,0.1555283,508,0.2621055,507,0.7980206,507,0.9216937,10,6,6,8,11,5,8,1,282.0739528
505.077638,1,36657573,26,17,18,11,505.077635,0,0.423076923,0.692307692,18,0.609756098,506.0849114,505,0.51981,506,0.2019217,505,0.7880507,502,0.1555283,506,0.2458146,505,0.7835707,505,0.9067532,10,7,6,8,9,6,8,1,282.0892089
503.098349,1,36657256,27,19,20,10,503.09837,0,0.37037037,0.740740741,18,0.590909091,504.1056469,503,0.542755,504,0.2221996,503,0.8099471,500,0.1916313,504,0.2659207,503,0.8054847,503,0.9281854,9,6,6,8,11,5,9,1,284.0168319
491.062003,1,26464283,25,15,16,11,491.061985,0,0.44,0.64,18,0.641025641,492.0692614,491,0.51981,492,0.1830312,491,0.780622,488,0.2486996,492,0.2257084,491,0.776266,491,0.8960371,10,5,7,8,10,5,9,1,284.032088
485.072489,1,21339042,23,17,18,12,485.07255,-0.1,0.52173913,0.782608696,15,0.529411765,486.079826,485,0.537062,486,0.192211,485,0.7947,482,0.3057679,486,0.2343688,485,0.790397,485,0.9087102,10,6,6,7,10,5,10,1,284.0532174
483.056884,1,18610714,23,15,16,12,483.0569,0,0.52173913,0.695652174,16,0.588235294,484.064176,483,0.523663,484,0.1760949,483,0.7802322,480,0.3057679,484,0.2180779,483,0.7759472,483,0.8937697,10,5,6,7,11,6,9,1,284.0684735
