Index,m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
128,245.045548,1,1403460,13,9,10,5,245.045547,0,0.384615385,0.769230769,9,0.619047619,246.0528234,245,0.778077,246,0.1097125,245,0.908493,244,0.1424013,246,0.1310527,245,0.9063149,245,0.9662049,5,5,4,3,8,4,7,1,496.1005615
129,247.024836,1,945838,12,7,8,6,247.024812,0.1,0.5,0.666666667,9,0.666666667,248.032088,247,0.755132,248,0.0894347,247,0.8865966,246,0.1062983,248,0.1109466,247,0.8844009,247,0.9447726,7,4,4,3,4,4,7,1,604.0853053
130,247.061179,1,1741937,13,11,12,5,247.061197,-0.1,0.384615385,0.923076923,8,0.523809524,248.0684735,247,0.791476,248,0.1258286,247,0.9229608,246,0.1424013,248,0.1473436,247,0.9207648,247,0.9811453,4,5,2,3,8,3,5,1,512.0954761
131,249.040445,1,2219295,12,9,10,6,249.040462,-0.1,0.5,0.833333333,8,0.555555556,250.0477381,249,0.768531,250,0.1055508,249,0.9010643,248,0.1062983,250,0.1272375,249,0.8988508,249,0.9597131,5,4,3,3,6,3,6,1,588.0903907
133,251.056107,1,1600469,12,11,12,6,251.056112,0,0.5,1,7,0.444444444,252.0633881,251,0.78193,252,0.1216669,251,0.915532,250,0.1062983,252,0.1435284,251,0.9133007,251,0.9746536,4,4,2,3,6,2,4,1,576.0903907
138,257.045564,1,1570957,14,9,10,5,257.045547,0.1,0.357142857,0.714285714,10,0.652173913,258.0528234,257,0.764678,258,0.112487,257,0.9014541,256,0.0492300,258,0.134868,257,0.8991697,257,0.9619805,6,5,4,4,8,4,6,1,558.079826
140,259.024822,1,2051537,13,7,8,6,259.024812,0,0.461538462,0.615384615,10,0.7,260.032088,259,0.741732,260,0.0922092,259,0.8795576,258,0.0131270,260,0.1147618,259,0.8772557,259,0.9405483,7,3,5,4,7,5,8,1,550.1111262
142,259.061166,1,3167445,14,11,12,5,259.061197,-0.1,0.357142857,0.857142857,9,0.565217391,260.0684735,259,0.778077,260,0.1286031,259,0.9159218,258,0.0492300,260,0.1511589,259,0.9136196,259,0.976921,5,5,3,4,9,3,6,1,524.0954761
145,261.040454,1,6450333,13,9,10,6,261.040462,0,0.461538462,0.769230769,9,0.6,262.0477381,261,0.755132,262,0.1083253,261,0.8940253,260,0.0131270,262,0.1310527,261,0.8917056,261,0.9554888,7,4,5,4,8,4,7,1,508.064176
146,261.076822,1,2023329,14,13,14,5,261.076847,-0.1,0.357142857,1,8,0.47826087,262.0841236,261,0.791476,262,0.1447192,261,0.9303895,260,0.0492300,262,0.1674498,261,0.9280694,261,0.9918614,4,6,2,4,9,2,4,1,464.0743467
150,263.019738,1,3316842,12,7,8,7,263.019726,0,0.583333333,0.666666667,9,0.647058824,264.0270026,263,0.732186,264,0.0880474,263,0.8721289,261,0.9770240,264,0.1109466,263,0.8697916,263,0.9340565,8,3,4,4,4,4,6,1,618.1009554
152,263.056139,1,6725486,13,11,12,6,263.056112,0.1,0.461538462,0.923076923,8,0.5,264.0633881,263,0.768531,264,0.1244414,263,0.908493,262,0.0131270,264,0.1473436,263,0.9061555,263,0.9704292,5,5,4,4,8,3,5,1,592.0853053
164,265.03536,1,4784702,12,9,10,7,265.035376,-0.1,0.583333333,0.833333333,8,0.529411765,266.0426527,265,0.745585,266,0.1041635,265,0.8865966,263,0.9770240,266,0.1272375,265,0.8842415,265,0.948997,6,3,4,4,6,3,6,1,552.0903907
166,265.07172,1,2037186,13,13,14,6,265.071762,-0.2,0.461538462,1.076923077,7,0.4,266.0790382,265,0.78193,266,0.1405575,265,0.9229608,264,0.0131270,266,0.1636345,265,0.9206054,265,0.9853697,4,5,2,4,7,2,3,1,550.0747407
168,267.014624,1,2015507,11,7,8,8,267.014641,-0.1,0.727272727,0.727272727,8,0.571428571,268.0219172,267,0.72264,268,0.0838857,267,0.8647002,265,0.9409210,268,0.1071313,267,0.8623275,267,0.9275648,8,2,3,4,2,4,5,1,528.0903907
171,267.051016,1,3759895,12,11,12,7,267.051026,0,0.583333333,1,7,0.411764706,268.0583027,267,0.758985,268,0.1202796,267,0.9010643,265,0.9770240,268,0.1435284,267,0.8986914,267,0.9639375,6,4,3,4,6,2,5,1,522.079826
173,269.030246,1,2266352,11,9,10,8,269.030291,-0.2,0.727272727,0.909090909,7,0.428571429,270.0375673,269,0.736039,270,0.1000018,269,0.8791679,267,0.9409210,270,0.1234222,269,0.8767774,269,0.9425053,5,3,2,4,4,3,5,1,510.1162115
177,269.08185,1,1192054,16,13,14,4,269.081932,-0.3,0.25,0.875,10,0.571428571,270.0892089,269,0.787623,270,0.1516554,269,0.9307792,267,0.9921616,270,0.1750803,269,0.9283883,269,0.9941288,3,6,4,2,11,3,6,1,494.0849114
181,271.024776,1,5350606,14,7,8,6,271.024812,-0.1,0.428571429,0.571428571,11,0.727272727,272.032088,271,0.728333,272,0.0949837,271,0.8725186,269,0.9199556,272,0.1185771,271,0.8701105,271,0.9363239,8,4,5,5,6,5,9,1,492.1056469
183,271.045967,1,1741265,11,11,12,8,271.045941,0.1,0.727272727,1.090909091,6,0.285714286,272.0532174,271,0.749439,272,0.1161179,271,0.8936356,269,0.9409210,272,0.1397131,271,0.8912273,271,0.9574458,4,3,2,4,4,2,3,1,480.1056469
185,271.061193,1,4734162,15,11,12,5,271.061197,0,0.333333333,0.8,10,0.6,272.0684735,271,0.764678,272,0.1313776,271,0.9088828,269,0.9560586,272,0.1549741,271,0.9064743,271,0.9726966,6,5,4,4,9,3,5,1,480.0692614
190,273.040435,1,10456499,14,9,10,6,273.040462,-0.1,0.428571429,0.714285714,10,0.636363636,274.0477381,273,0.741732,274,0.1110998,273,0.8869863,271,0.9199556,274,0.134868,273,0.8845604,273,0.9512644,7,4,4,5,8,4,8,1,464.1107322
192,273.076839,1,5754295,15,13,14,5,273.076847,0,0.333333333,0.933333333,9,0.52,274.0841236,273,0.778077,274,0.1474937,273,0.9233505,271,0.9560586,274,0.171265,273,0.9209242,273,0.9876371,5,6,4,4,9,4,5,1,648.1115201
194,275.019714,1,5653656,13,7,8,7,275.019726,0,0.538461538,0.615384615,10,0.684210526,276.0270026,275,0.718787,276,0.0908219,275,0.8650899,273,0.8838526,276,0.1147618,275,0.8626464,275,0.9298322,7,3,5,5,7,4,7,1,634.09587
196,275.056086,1,17693340,14,11,12,6,275.056112,-0.1,0.428571429,0.857142857,9,0.545454545,276.0633881,275,0.755132,276,0.1272159,275,0.9014541,273,0.9199556,276,0.1511589,275,0.8990103,275,0.9662049,7,5,4,5,9,3,7,1,632.1166055
