compound,technique,wavenumber,intensity
CCl4,IR,3996.58915,0.113982978
CCl4,IR,3994.53224,0.114011852
CCl4,IR,3992.47532,0.114003977
CCl4,IR,3990.4184,0.11391476
CCl4,IR,3988.36149,0.113927876
CCl4,IR,3986.30457,0.114032856
CCl4,IR,3984.24765,0.114111654
CCl4,IR,3982.19074,0.114122164
CCl4,IR,3980.13382,0.114145817
CCl4,IR,3978.0769,0.114214173
CCl4,IR,3976.01999,0.114216803
CCl4,IR,3973.96307,0.114164216
CCl4,IR,3971.90615,0.114116909
CCl4,IR,3969.84924,0.114090636
CCl4,IR,3967.79232,0.114130048
CCl4,IR,3965.7354,0.114137932
CCl4,IR,3963.67849,0.114045985
CCl4,IR,3961.62157,0.113927876
CCl4,IR,3959.56465,0.113849204
CCl4,IR,3957.50774,0.113828235
CCl4,IR,3955.45082,0.113878044
CCl4,IR,3953.3939,0.113975105
CCl4,IR,3951.33699,0.114011852
CCl4,IR,3949.28007,0.113961984
CCl4,IR,3947.22315,0.113954112
CCl4,IR,3945.16624,0.114019728
CCl4,IR,3943.10932,0.114024979
CCl4,IR,3941.0524,0.114019728
CCl4,IR,3938.99549,0.114072248
CCl4,IR,3936.93857,0.114069621
CCl4,IR,3934.88165,0.114032856
CCl4,IR,3932.82474,0.114014477
CCl4,IR,3930.76782,0.114009227
CCl4,IR,3928.7109,0.113975105
CCl4,IR,3926.65399,0.113904269
CCl4,IR,3924.59707,0.113954112
CCl4,IR,3922.54015,0.114135304
CCl4,IR,3920.48324,0.114211543
CCl4,IR,3918.42632,0.114164216
CCl4,IR,3916.3694,0.114158959
CCl4,IR,3914.31249,0.114164216
CCl4,IR,3912.25557,0.114145817
CCl4,IR,3910.19865,0.114109026
CCl4,IR,3908.14174,0.113975105
CCl4,IR,3906.08482,0.113838719
CCl4,IR,3904.0279,0.113930499
CCl4,IR,3901.97099,0.114114281
CCl4,IR,3899.91407,0.114069621
CCl4,IR,3897.85715,0.11394624
CCl4,IR,3895.80024,0.113977729
CCl4,IR,3893.74332,0.114032856
CCl4,IR,3891.6864,0.114022353
CCl4,IR,3889.62949,0.114027604
CCl4,IR,3887.57257,0.113956736
CCl4,IR,3885.51565,0.113849204
CCl4,IR,3883.45874,0.113961984
CCl4,IR,3881.40182,0.114219433
CCl4,IR,3879.3449,0.114356275
CCl4,IR,3877.28799,0.114316784
CCl4,IR,3875.23107,0.114253628
CCl4,IR,3873.17415,0.114227323
CCl4,IR,3871.11724,0.114132676
CCl4,IR,3869.06032,0.113896401
CCl4,IR,3867.0034,0.113802028
CCl4,IR,3864.94649,0.113977729
CCl4,IR,3862.88957,0.114093263
CCl4,IR,3860.83265,0.113990852
CCl4,IR,3858.77574,0.113940993
CCl4,IR,3856.71882,0.113954112
CCl4,IR,3854.6619,0.114059116
CCl4,IR,3852.60499,0.114324681
CCl4,IR,3850.54807,0.114419488
CCl4,IR,3848.49115,0.114390511
CCl4,IR,3846.43423,0.11425889
CCl4,IR,3844.37732,0.114074875
CCl4,IR,3842.3204,0.114051237
CCl4,IR,3840.26348,0.114174732
CCl4,IR,3838.20657,0.114214173
CCl4,IR,3836.14965,0.114203654
CCl4,IR,3834.09273,0.114319417
CCl4,IR,3832.03582,0.114358908
CCl4,IR,3829.9789,0.114153702
CCl4,IR,3827.92198,0.113954112
CCl4,IR,3825.86507,0.113917383
CCl4,IR,3823.80815,0.113930499
CCl4,IR,3821.75123,0.113948864
CCl4,IR,3819.69432,0.113901646
CCl4,IR,3817.6374,0.113765348
CCl4,IR,3815.58048,0.113783686
CCl4,IR,3813.52357,0.113964608
CCl4,IR,3811.46665,0.11409589
CCl4,IR,3809.40973,0.114111654
CCl4,IR,3807.35282,0.114027604
CCl4,IR,3805.2959,0.113975105
CCl4,IR,3803.23898,0.113920006
CCl4,IR,3801.18207,0.113859691
CCl4,IR,3799.12515,0.113927876
CCl4,IR,3797.06823,0.113980354
CCl4,IR,3795.01132,0.113954112
CCl4,IR,3792.9544,0.113930499
CCl4,IR,3790.89748,0.11397248
CCl4,IR,3788.84057,0.114082755
CCl4,IR,3786.78365,0.114240475
CCl4,IR,3784.72673,0.114364175
CCl4,IR,3782.66982,0.114329946
CCl4,IR,3780.6129,0.114203654
CCl4,IR,3778.55598,0.114187877
CCl4,IR,3776.49907,0.114201025
CCl4,IR,3774.44215,0.114106399
CCl4,IR,3772.38523,0.113993477
CCl4,IR,3770.32832,0.113967232
CCl4,IR,3768.2714,0.114059116
CCl4,IR,3766.21448,0.114116909
CCl4,IR,3764.15757,0.114017102
CCl4,IR,3762.10065,0.113838719
CCl4,IR,3760.04373,0.113854447
CCl4,IR,3757.98682,0.114064368
CCl4,IR,3755.9299,0.114143188
CCl4,IR,3753.87298,0.114198395
CCl4,IR,3751.81607,0.114277308
CCl4,IR,3749.75915,0.114106399
CCl4,IR,3747.70223,0.11403023
CCl4,IR,3745.64532,0.114198395
CCl4,IR,3743.5884,0.114348376
CCl4,IR,3741.53148,0.114306256
CCl4,IR,3739.47457,0.114148445
CCl4,IR,3737.41765,0.114003977
CCl4,IR,3735.36073,0.113977729
CCl4,IR,3733.30382,0.113996102
CCl4,IR,3731.2469,0.114032856
CCl4,IR,3729.18998,0.114124792
CCl4,IR,3727.13307,0.114177361
CCl4,IR,3725.07615,0.114122164
